analysis_type	analysis_subtype	analysis_name	group1_samples	group2_samples	N_test	N_chunk
oligo_activity	sample	A549-ACE2_NS_R1	A549-ACE2_NS_R1		11540	21
oligo_activity	sample	A549-ACE2_NS_R2-P3	A549-ACE2_NS_R2-P3		11533	21
oligo_activity	sample	A549-ACE2_NS_R3-P3	A549-ACE2_NS_R3-P3		11529	21
oligo_activity	sample	A549-ACE2_SARS_R1-P3	A549-ACE2_SARS_R1-P3		11528	21
oligo_activity	sample	A549-ACE2_SARS_R2-P3	A549-ACE2_SARS_R2-P3		11541	21
oligo_activity	sample	A549-ACE2_SARS_R3-P3	A549-ACE2_SARS_R3-P3		11529	21
oligo_activity	sample	A549-ACE2_TNFa_R1	A549-ACE2_TNFa_R1		11522	21
oligo_activity	sample	A549-ACE2_TNFa_R2	A549-ACE2_TNFa_R2		11535	21
oligo_activity	sample	A549-ACE2_TNFa_R3	A549-ACE2_TNFa_R3		11527	21
oligo_activity	sample	HepG2_DEX_R1	HepG2_DEX_R1		11127	21
oligo_activity	sample	HepG2_DEX_R2	HepG2_DEX_R2		11537	21
oligo_activity	sample	HepG2_DEX_R3	HepG2_DEX_R3		11540	21
oligo_activity	sample	HepG2_IFNA2b_R1	HepG2_IFNA2b_R1		11178	21
oligo_activity	sample	HepG2_IFNA2b_R2	HepG2_IFNA2b_R2		11060	21
oligo_activity	sample	HepG2_IFNA2b_R3	HepG2_IFNA2b_R3		11533	21
oligo_activity	sample	HepG2_IFNA2b_R4	HepG2_IFNA2b_R4		11029	20
oligo_activity	sample	HepG2_NS_R1	HepG2_NS_R1		11144	21
oligo_activity	sample	HepG2_NS_R2	HepG2_NS_R2		11180	21
oligo_activity	sample	HepG2_NS_R3	HepG2_NS_R3		11526	21
oligo_activity	sample	HepG2_NS_R4	HepG2_NS_R4		11052	21
oligo_activity	sample	HepG2_NS_R5	HepG2_NS_R5		11530	21
oligo_activity	sample	HepG2_TNFa_R1	HepG2_TNFa_R1		11517	21
oligo_activity	sample	HepG2_TNFa_R2	HepG2_TNFa_R2		11523	21
oligo_activity	sample	HepG2_TNFa_R3	HepG2_TNFa_R3		11510	21
oligo_activity	sample	K562_IFNA2b_R1	K562_IFNA2b_R1		11539	21
oligo_activity	sample	K562_IFNA2b_R2	K562_IFNA2b_R2		11535	21
oligo_activity	sample	K562_IFNA2b_R3	K562_IFNA2b_R3		11528	21
oligo_activity	sample	K562_IFNA2b_R4	K562_IFNA2b_R4		11543	21
oligo_activity	sample	K562_NS_R1	K562_NS_R1		11189	21
oligo_activity	sample	K562_NS_R2	K562_NS_R2		11535	21
oligo_activity	sample	K562_NS_R3	K562_NS_R3		11528	21
oligo_activity	sample	K562_NS_R4	K562_NS_R4		11547	21
oligo_activity	sample	K562_NS_R5	K562_NS_R5		11514	21
